"x"
"1","cg00000292"
"2","cg00002426"
"3","cg00003994"
"4","cg00007981"
"5","cg00009407"
"6","cg00012792"
"7","cg00014085"
"8","cg00019495"
"9","cg00022606"
"10","cg00022866"
"11","cg00024396"
"12","cg00024812"
"13","cg00025138"
"14","cg00033516"
"15","cg00033773"
"16","cg00035347"
"17","cg00047469"
"18","cg00056767"
"19","cg00058938"
"20","cg00059225"
"21","cg00059424"
"22","cg00065408"
"23","cg00066816"
"24","cg00071998"
"25","cg00076645"
"26","cg00077877"
"27","cg00080012"
"28","cg00081935"
"29","cg00081975"
"30","cg00083937"
"31","cg00094851"
"32","cg00095526"
"33","cg00096922"
"34","cg00097536"
"35","cg00103783"
"36","cg00107187"
"37","cg00112517"
"38","cg00115714"
"39","cg00116234"
"40","cg00119079"
"41","cg00121158"
"42","cg00121904"
"43","cg00123035"
"44","cg00126034"
"45","cg00126698"
"46","cg00128654"
"47","cg00128766"
"48","cg00128877"
"49","cg00129774"
"50","cg00134787"
"51","cg00136405"
"52","cg00136736"
"53","cg00141162"
"54","cg00141845"
"55","cg00143998"
"56","cg00145348"
"57","cg00149659"
"58","cg00149976"
"59","cg00155167"
"60","cg00158308"
"61","cg00160914"
"62","cg00168082"
"63","cg00174500"
"64","cg00177698"
"65","cg00180012"
"66","cg00184893"
"67","cg00185839"
"68","cg00186954"
"69","cg00187380"
"70","cg00195561"
"71","cg00197381"
"72","cg00200063"
"73","cg00202702"
"74","cg00202711"
"75","cg00206052"
"76","cg00209951"
"77","cg00213714"
"78","cg00217795"
"79","cg00221494"
"80","cg00223950"
"81","cg00224234"
"82","cg00224508"
"83","cg00229387"
"84","cg00231140"
"85","cg00233307"
"86","cg00236832"
"87","cg00240880"
"88","cg00242839"
"89","cg00243313"
"90","cg00247489"
"91","cg00253200"
"92","cg00256281"
"93","cg00261552"
"94","cg00263760"
"95","cg00265415"
"96","cg00265490"
"97","cg00268338"
"98","cg00274399"
"99","cg00279797"
"100","cg00283535"
"101","cg00288562"
"102","cg00290028"
"103","cg00292662"
"104","cg00293409"
"105","cg00294382"
"106","cg00295206"
"107","cg00312919"
"108","cg00319761"
"109","cg00321065"
"110","cg00321478"
"111","cg00323915"
"112","cg00324733"
"113","cg00327185"
"114","cg00328227"
"115","cg00331237"
"116","cg00333528"
"117","cg00336605"
"118","cg00340102"
"119","cg00346145"
"120","cg00347904"
"121","cg00359325"
"122","cg00363813"
"123","cg00367281"
"124","cg00375964"
"125","cg00376639"
"126","cg00380464"
"127","cg00387170"
"128","cg00399483"
"129","cg00404599"
"130","cg00405070"
"131","cg00405568"
"132","cg00410898"
"133","cg00415993"
"134","cg00417297"
"135","cg00419564"
"136","cg00422913"
"137","cg00424946"
"138","cg00425792"
"139","cg00426498"
"140","cg00430945"
"141","cg00435408"
"142","cg00441382"
"143","cg00447208"
"144","cg00462311"
"145","cg00463577"
"146","cg00465284"
"147","cg00466492"
"148","cg00466544"
"149","cg00472814"
"150","cg00474209"
"151","cg00475955"
"152","cg00476580"
"153","cg00480209"
"154","cg00480356"
"155","cg00481227"
"156","cg00485296"
"157","cg00488718"
"158","cg00491839"
"159","cg00493400"
"160","cg00495442"
"161","cg00498305"
"162","cg00498604"
"163","cg00499599"
"164","cg00499822"
"165","cg00502442"
"166","cg00503458"
"167","cg00503840"
"168","cg00504595"
"169","cg00509616"
"170","cg00509670"
"171","cg00510787"
"172","cg00512279"
"173","cg00513220"
"174","cg00522034"
"175","cg00524288"
